4048_C12	t2	t1	-27585.105506	t2	-27584.433212
4103_C12	t1	t1	-24161.568462	t2	-24162.104956
4218_C12	t2	t1	-38197.644717	t2	-38196.408817
4234_C12	t2	t1	-21296.132775	t2	-21291.813514
4308_C12	t2	t1	-29422.437743	t2	-29421.953141
4321_C12	t2	t1	-53429.673913	t2	-53429.08009
4474_C12	t1	t1	-36056.489637	t2	-36061.958651
4478_C12	t2	t1	-24968.016384	t2	-24963.555837
4490_C12	t2	t1	-6635.18164	t2	-6634.856275
4524_C12	t2	t1	-40804.1316039999	t2	-40802.354802
4533_C12	t2	t1	-27206.650732	t2	-27205.5298
4547_C12	t2	t1	-20500.490812	t2	-20499.752609
4548_C12	t1	t1	-52301.278593	t2	-52309.272368
4579_C12	t1	t1	-5587.330654	t2	-5587.695369
4599_C12	t2	t1	-10642.773939	t2	-10640.997264
4623_C12	t1	t1	-16141.927602	t2	-16143.351318
4637_C12	t2	t1	-8285.65882999999	t2	-8284.920576
4638_C12	t1	t1	-8496.046273	t2	-8496.18782
4685_C12	t1	t1	-7059.172013	t2	-7059.943863
4729_C12	t2	t1	-25577.568431	t2	-25576.273583
4745_C12	t2	t1	-7057.041684	t2	-7055.470624
4777_C12	t2	t1	-9933.497166	t2	-9933.495185
4823_C12	t1	t1	-12803.043476	t2	-12803.903763
4886_C12	t2	t1	-21825.205915	t2	-21821.305997
4914_C12	t1	t1	-25871.799353	t2	-25875.015419
4955_C12	t2	t1	-12838.894618	t2	-12837.695491
4975_C12	t1	t1	-23452.474749	t2	-23457.823584
4982_C12	t1	t1	-1618.95183	t2	-1620.560524
5034_C12	t1	t1	-22109.877832	t2	-22114.292843
5062_C12	t2	t1	-14605.510773	t2	-14602.431766
5063_C12	t2	t1	-30512.139962	t2	-30509.988468
5068_C12	t2	t1	-1210.920758	t2	-1210.71038
5075_C12	t1	t1	-26153.568223	t2	-26163.738388
5086_C12	t2	t1	-31661.738797	t2	-31658.589702
5087_C12	t2	t1	-11378.73274	t2	-11378.290809
5088_C12	t1	t1	-6932.255646	t2	-6934.783065
5091_C12	t2	t1	-8384.632491	t2	-8384.142821
5092_C12	t1	t1	-13660.228933	t2	-13662.207971
5096_C12	t1	t1	-26960.515693	t2	-26964.615453
5097_C12	t1	t1	-22098.524123	t2	-22099.573632
5111_C12	t2	t1	-24214.465368	t2	-24212.210953
5116_C12	t1	t1	-7634.654222	t2	-7637.780896
5148_C12	t1	t1	-15471.610607	t2	-15472.750415
5154_C12	t1	t1	-7202.15491299999	t2	-7202.291094
5161_C12	t2	t1	-36746.371163	t2	-36734.594469
5165_C12	t2	t1	-28592.303265	t2	-28589.911782
