4048_C12	t2	t1	-27585.105506	t2	-27571.573671
4103_C12	t1	t1	-24161.568462	t2	-24162.314825
4218_C12	t1	t1	-38197.644717	t2	-38200.673843
4234_C12	t2	t1	-21296.132775	t2	-21288.733755
4308_C12	t2	t1	-29422.437743	t2	-29420.636533
4321_C12	t2	t1	-53429.673913	t2	-53425.390527
4474_C12	t2	t1	-36056.489637	t2	-36055.763175
4478_C12	t1	t1	-24968.016384	t2	-25078.006822
4490_C12	t1	t1	-6635.18164	t2	-6705.251687
4524_C12	t1	t1	-40804.1316039999	t2	-40835.273377
4533_C12	t2	t1	-27206.650732	t2	-27124.41695
4547_C12	t2	t1	-20500.490812	t2	-20496.419311
4548_C12	t2	t1	-52301.278593	t2	-52298.036092
4579_C12	t2	t1	-5587.330654	t2	-5586.187173
4599_C12	t2	t1	-10642.773939	t2	-10640.176687
4623_C12	t1	t1	-16141.927602	t2	-16142.381932
4637_C12	t2	t1	-8285.65882999999	t2	-8285.445169
4638_C12	t2	t1	-8496.046273	t2	-8494.483679
4685_C12	t1	t1	-7059.172013	t2	-7059.950749
4729_C12	t2	t1	-25577.568431	t2	-25574.511189
4745_C12	t2	t1	-7057.041684	t2	-7055.180849
4777_C12	t2	t1	-9933.497166	t2	-9932.53138
4823_C12	t1	t1	-12803.043476	t2	-12805.085466
4886_C12	t2	t1	-21825.205915	t2	-21823.156439
4914_C12	t1	t1	-25871.799353	t2	-25875.727077
4955_C12	t1	t1	-12838.894618	t2	-12840.082299
4975_C12	t2	t1	-23452.474749	t2	-23451.292371
4982_C12	t1	t1	-1618.95183	t2	-1620.401976
5034_C12	t2	t1	-22109.877832	t2	-22109.452199
5062_C12	t2	t1	-14605.510773	t2	-14602.134678
5063_C12	t1	t1	-30512.139962	t2	-30514.1459190001
5068_C12	t2	t1	-1210.920758	t2	-1210.579311
5075_C12	t1	t1	-26153.568223	t2	-26158.668488
5086_C12	t1	t1	-31661.738797	t2	-31664.270047
5087_C12	t2	t1	-11378.73274	t2	-11373.799788
